"event","Gastropoda","Staphylinidae","Diptera","Araneae","Diplopoda","Coleoptera","Isopoda","Insecta","Opiliones","Orthoptera","Arthropoda","Formicidae","Acari","Collembola","Opilioacarida","Aphaenogaster","Myrmicinae","Dorymyrmex","Formicinae","Annelida","Hymenoptera","Arachnida","Solenopsis","Scarabaeidae","Camponotus","Hemiptera","Crematogaster","Formica","Pheidole","Pogonomyrmex","Zygentoma","Canthon","Tenebrionidae","Lepidoptera","Neivamyrmex","Forelius","Canthon.viridis","Novomessor"
"STEI00820160511",3,2,10,1,1,1,1,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0
"STEI00820160720",3,3,10,1,3,3,1,3,1,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"STEI00820160914",2,1,5,3,1,1,2,2,0,4,0,0,2,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"TALL00120160413",0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"TALL00120160706",0,0,4,4,0,3,0,2,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
"TALL00120160914",0,1,6,1,0,2,0,3,0,6,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"TALL00220160413",0,0,10,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
"TALL00220160706",0,1,0,2,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"TALL00220160914",1,0,3,1,1,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
"TREE00120160517",2,0,13,5,0,3,0,2,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TREE00120160712",3,1,24,3,0,4,0,5,0,2,0,0,4,6,0,0,0,0,0,2,3,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0
"TREE00120160908",3,0,7,3,1,5,0,3,0,1,0,0,7,4,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TREE00220160517",2,2,17,4,0,3,0,2,0,0,0,0,7,2,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0
"TREE00220160712",2,1,10,1,0,5,0,2,0,1,0,0,6,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0
"TREE00220160908",2,1,17,4,0,4,0,5,0,0,0,0,5,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
"TREE00320160517",2,0,7,7,0,5,0,4,0,1,0,0,5,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0
"TREE00320160712",0,1,20,6,3,12,0,8,0,1,0,0,7,8,0,0,0,0,0,5,1,0,0,0,0,4,0,0,0,0,0,0,1,9,0,0,0,0
"TREE00320160908",2,0,9,6,2,4,0,3,0,2,0,0,1,4,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0
"UKFS00620160329",2,0,0,5,1,2,0,3,3,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UKFS00620160705",1,0,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UKFS00920160329",0,0,2,5,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"UKFS00920160705",0,0,1,6,0,1,1,1,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"UKFS00920161011",0,1,6,2,0,7,2,0,0,0,0,0,2,4,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"UNDE00320160524",2,1,17,2,0,3,2,2,0,0,0,0,2,6,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0
"UNDE00320160719",3,1,6,3,0,3,2,5,0,1,0,0,0,6,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"UNDE00320160913",2,2,10,4,0,2,2,5,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"UNDE01720160524",2,1,10,0,0,5,0,3,3,1,0,0,6,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
"UNDE01720160719",3,2,15,4,0,7,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"UNDE01720160913",0,2,14,1,0,9,0,6,0,2,0,0,5,6,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0
"WOOD00220160419",0,0,10,3,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"WOOD00220160628",1,6,19,13,1,7,0,0,0,7,3,0,8,8,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0
"WOOD00220160906",0,2,4,5,1,2,0,1,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"WOOD02320160419",0,0,3,3,0,2,0,0,0,1,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"WOOD02320160628",0,5,22,12,1,20,0,0,0,4,0,0,4,7,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
"WOOD02320160906",0,2,10,2,1,4,0,3,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
